Date,Value,Anomaly
197010,66.4,-2.4
197110,74.9,6.1
197210,64.4,-4.4
197310,72.9,4.1
197410,71.3,2.5
197510,71.8,3
197610,62.9,-5.9
197710,67.6,-1.2
197810,71,2.2
197910,70.8,2
198010,66.8,-2
198110,66.9,-1.9
198210,69.4,0.6
198310,67.5,-1.3
198410,68.7,-0.1
198510,69,0.2
198610,67.4,-1.4
198710,64.6,-4.2
198810,63.4,-5.4
198910,71,2.2
199010,69.7,0.9
199110,70.2,1.4
199210,70.1,1.3
199310,64.8,-4
199410,69.2,0.4
199510,71.5,2.7
199610,68.5,-0.3
199710,68.5,-0.3
199810,69,0.2
199910,70.7,1.9
200010,71.9,3.1
200110,67.6,-1.2
200210,62,-6.8
200310,69.1,0.3
200410,67.8,-1
200510,67.2,-1.6
200610,64.8,-4
200710,72.1,3.3
200810,67.8,-1
200910,60.2,-8.6
201010,72.9,4.1
201110,70.4,1.6
201210,64.9,-3.9
201310,67.6,-1.2
201410,-99,-167.8
201510,70.1,1.3
201610,73.2,4.4
201710,69.3,0.5
201810,67.4,-1.4
